,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
135,KALYDECO,warnings and precautions,all,6,9,1,8.0,5,0.1111111111111111,0.16666666666666666,0.13333333333333333
136,KALYDECO,warnings and precautions,exact-meddra,1,9,1,,0,,1.0,
137,KALYDECO,warnings and precautions,non-meddra,5,9,0,,5,,0.0,
138,KALYDECO,warnings and precautions,discontinuous,3,9,0,,3,,0.0,
139,KALYDECO,all-concat,all,45,56,25,31.0,20,0.44642857142857145,0.5555555555555556,0.4950495049504951
140,KALYDECO,all-concat,exact-meddra,25,56,25,,0,,1.0,
141,KALYDECO,all-concat,non-meddra,20,56,0,,20,,0.0,
142,KALYDECO,all-concat,discontinuous,13,56,0,,13,,0.0,
143,FULYZAQ,adverse reactions,all,36,47,30,17.0,6,0.6382978723404256,0.8333333333333334,0.7228915662650603
144,FULYZAQ,adverse reactions,exact-meddra,30,47,30,,0,,1.0,
145,FULYZAQ,adverse reactions,non-meddra,6,47,0,,6,,0.0,
146,FULYZAQ,all-concat,all,36,49,30,19.0,6,0.6122448979591837,0.8333333333333334,0.7058823529411765
147,FULYZAQ,all-concat,exact-meddra,30,49,30,,0,,1.0,
148,FULYZAQ,all-concat,non-meddra,6,49,0,,6,,0.0,
149,QUTENZA,adverse reactions,all,40,71,34,37.0,6,0.4788732394366197,0.85,0.6126126126126126
150,QUTENZA,adverse reactions,exact-meddra,34,71,34,,0,,1.0,
151,QUTENZA,adverse reactions,non-meddra,6,71,0,,6,,0.0,
152,QUTENZA,warnings and precautions,all,6,14,3,11.0,3,0.21428571428571427,0.5,0.3
153,QUTENZA,warnings and precautions,exact-meddra,3,14,3,,0,,1.0,
154,QUTENZA,warnings and precautions,non-meddra,3,14,0,,3,,0.0,
155,QUTENZA,all-concat,all,45,79,37,42.0,8,0.46835443037974683,0.8222222222222222,0.596774193548387
156,QUTENZA,all-concat,exact-meddra,37,79,37,,0,,1.0,
157,QUTENZA,all-concat,non-meddra,8,79,0,,8,,0.0,
158,GRANIX,adverse reactions,all,15,35,12,23.0,3,0.34285714285714286,0.8,0.48000000000000004
159,GRANIX,adverse reactions,exact-meddra,5,35,5,,0,,1.0,
160,GRANIX,adverse reactions,non-meddra,10,35,7,,3,,0.7,
161,GRANIX,warnings and precautions,all,24,37,18,19.0,6,0.4864864864864865,0.75,0.5901639344262296
162,GRANIX,warnings and precautions,exact-meddra,17,37,17,,0,,1.0,
163,GRANIX,warnings and precautions,non-meddra,7,37,1,,6,,0.14285714285714285,
164,GRANIX,warnings and precautions,discontinuous,1,37,0,,1,,0.0,
165,GRANIX,all-concat,all,35,61,27,34.0,8,0.4426229508196721,0.7714285714285715,0.5625
166,GRANIX,all-concat,exact-meddra,19,61,19,,0,,1.0,
167,GRANIX,all-concat,non-meddra,16,61,8,,8,,0.5,
168,GRANIX,all-concat,discontinuous,1,61,0,,1,,0.0,
169,COARTEM,adverse reactions,all,81,115,73,42.0,8,0.6347826086956522,0.9012345679012346,0.7448979591836735
170,COARTEM,adverse reactions,exact-meddra,78,115,73,,5,,0.9358974358974359,
171,COARTEM,adverse reactions,non-meddra,3,115,0,,3,,0.0,
172,COARTEM,warnings and precautions,all,2,23,0,23.0,2,0.0,0.0,
173,COARTEM,warnings and precautions,non-meddra,2,23,0,,2,,0.0,
